delta subtype	date
B.1.617.2-d	22/06/2021
B.1.617.2-d	22/06/2021
B.1.617.2-d	22/06/2021
B.1.617.2-d	22/06/2021
B.1.617.2-d	22/06/2021
B.1.617.2-d	22/06/2021
B.1.617.2-d	22/06/2021
B.1.617.2-d	22/06/2021
B.1.617.2-d	22/06/2021
B.1.617.2-d	23/06/2021
B.1.617.2-d	23/06/2021
B.1.617.2-d	23/06/2021
B.1.617.2-d	23/06/2021
B.1.617.2-d	23/06/2021
B.1.617.2-d	23/06/2021
B.1.617.2-d	23/06/2021
B.1.617.2-d	23/06/2021
B.1.617.2-d	23/06/2021
B.1.617.2-d	23/06/2021
B.1.617.2-d	22/06/2021
B.1.617.2-d	22/06/2021
B.1.617.2-d	22/06/2021
B.1.617.2-d	23/06/2021
B.1.617.2-d	22/06/2021
B.1.617.2-d	22/06/2021
B.1.617.2-d	23/06/2021
B.1.617.2-d	22/06/2021
B.1.617.2-d	22/06/2021
B.1.617.2-d	22/06/2021
B.1.617.2-d	22/06/2021
B.1.617.2-d	21/06/2021
B.1.617.2-d	22/06/2021
B.1.617.2-d	22/06/2021
B.1.617.2-d	22/06/2021
B.1.617.2-d	22/06/2021
B.1.617.2-d	22/06/2021
B.1.617.2-d	22/06/2021
B.1.617.2-d	22/06/2021
B.1.617.2-d	22/06/2021
B.1.617.2-d	22/06/2021
B.1.617.2-d	23/06/2021
B.1.617.2-d	23/06/2021
B.1.617.2-d	23/06/2021
B.1.617.2-d	23/06/2021
B.1.617.2-d	23/06/2021
B.1.617.2-d	23/06/2021
B.1.617.2-d	23/06/2021
B.1.617.2-d	23/06/2021
B.1.617.2-d	23/06/2021
B.1.617.2-d	23/06/2021
B.1.617.2-d	23/06/2021
B.1.617.2-d	23/06/2021
B.1.617.2-d	23/06/2021
B.1.617.2-d	23/06/2021
B.1.617.2-d	23/06/2021
B.1.617.2-d	22/06/2021
B.1.617.2-d	22/06/2021
B.1.617.2-d	23/06/2021
B.1.617.2-d	24/06/2021
B.1.617.2-d	24/06/2021
B.1.617.2-d	24/06/2021
B.1.617.2-d	24/06/2021
B.1.617.2-d	24/06/2021
B.1.617.2-d	23/06/2021
B.1.617.2-d	23/06/2021
B.1.617.2-d	24/06/2021
B.1.617.2-d	24/06/2021
B.1.617.2-d	24/06/2021
B.1.617.2-d	24/06/2021
B.1.617.2-d	24/06/2021
B.1.617.2-d	24/06/2021
B.1.617.2-d	24/06/2021
B.1.617.2-d	24/06/2021
B.1.617.2-d	24/06/2021
B.1.617.2-d	24/06/2021
B.1.617.2-d	24/06/2021
B.1.617.2-d	24/06/2021
B.1.617.2-d	24/06/2021
B.1.617.2-d	24/06/2021
B.1.617.2-d	24/06/2021
B.1.617.2-d	24/06/2021
B.1.617.2-d	24/06/2021
B.1.617.2-d	24/06/2021
B.1.617.2-d	24/06/2021
B.1.617.2-d	23/06/2021
B.1.617.2-d	15/06/2021
B.1.617.2-d	23/06/2021
B.1.617.2-d	23/06/2021
B.1.617.2-d	23/06/2021
B.1.617.2-d	23/06/2021
B.1.617.2-d	23/06/2021
B.1.617.2-d	22/06/2021
B.1.617.2-d	23/06/2021
B.1.617.2-d	23/06/2021
B.1.617.2-d	23/06/2021
B.1.617.2-d	23/06/2021
B.1.617.2-d	23/06/2021
B.1.617.2-d	23/06/2021
B.1.617.2-d	23/06/2021
B.1.617.2-d	23/06/2021
B.1.617.2-d	23/06/2021
B.1.617.2-d	23/06/2021
B.1.617.2-d	23/06/2021
B.1.617.2-d	23/06/2021
B.1.617.2-d	23/06/2021
B.1.617.2-d	23/06/2021
B.1.617.2-d	23/06/2021
B.1.617.2-d	23/06/2021
B.1.617.2-d	23/06/2021
B.1.617.2-d	23/06/2021
B.1.617.2-d	23/06/2021
B.1.617.2-d	23/06/2021
B.1.617.2-d	23/06/2021
B.1.617.2-d	24/06/2021
